Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
"A fully hosted, completely managed environment for creating and maintaining a beautiful website, blog, or portfolio.",,Squarespace,,,Everything you need to create an amazing website.,,,"$38,500,000","Jul 13, 2010","$40,000,000","Apr 15, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Coherex-Medical,,,,,,,,"$16,500,000","Oct 12, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Spanning provides data protection for SaaS apps.Our flagship product, Spanning Backup for Google Apps, is the highest-rated security and compliance app in the Google Apps Marketplace. It provides enterprise-class, cloud-to-cloud backup and recovery for Google Apps data, including Gmail, Drive, Calendar, Contacts, and Sites.Backup and recovery solutions for other SaaS apps are in the works.We also develop a variety of popular free tools, including Stats for Google Drive, Undelete for Google Calendar, and Admin Audit Log.",Advertising Platforms,Spanning,,,Data protection for SaaS applications.,,,"$3,000,000","Apr  6, 2011","$6,000,000","Mar  1, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,SaaS,RightScale,"$4,000,000","Feb 13, 2006",,,,"$4,500,000","Apr 24, 2008","$13,000,000","Dec  8, 2008","$25,000,000","Sep 22, 2010","$15,600,000","Feb 12, 2013",-,GitHub_funding,,,,,,,,,,,,,,
,Apps,365Scores,,,,,,,,"$5,500,000","Sep 29, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"iMoney is South East Asia's leading financial comparison business with headquarters in Kuala Lumpur, Malaysia and operations in Singapore, Hong Kong, Indonesia, Thailand and the Philippines.iMoney enables consumers to apply for financial products from their desktop or mobile without having to visit a bank branch or representative. We compare credit cards, loans, broadband and insurance by providing consumers with the convenience of online comparison and the benefit of telephone-based advice and application.For banking, telco and insurance partners, iMoney provides a scalable and cost-effective marketing channel to market their products to… · More c. 3.5m consumers every month and grow market share without investing in physical distribution and expensive mass-media marketing campaigns.",Insurance,iMoney,,,Financial Product Comparison Website,,,"$2,000,000","Oct 24, 2013","$4,000,000","Sep 25, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Human Resources,Optoro,,,Match-maker for secondary-market goods,,,"$1,900,000","Jan 21, 2011","$23,500,000","Jul 16, 2013","$50,000,000","Dec 10, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,VaST-Systems-Technology,,,,,,,,,,"$12,000,000","May 23, 2005","$12,000,000","Jul 24, 2007",Series C,GitHub_funding,,,,,,,,,,,,,,
,-,Lutonix,,,,,,,,,,"$10,000,000","Dec 13, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Life is too short for bad films.And great films, are too great to miss. For both these reasons we created MUBI. ==MUBI is a unique subscription video-on-demand service available in over 200 countries around the world.MUBI brings its members a hand-picked selection of amazing films from around the globe. The collection is curated by an in-house team of expert film programmers and updated with a new film every single day - all for just £4.99/$4.99/€4.99 a month. MUBI is the cinema you can take with you wherever you go. Using MUBI’s mobile applications you can download films and watch offline. MUBI is available on the web, iOS,… · More Android, PlayStation, Amazon Fire TV, Android TV and connected TVs.MUBI is also the world’s largest social network devoted purely to film, where over 7 million passionate film lovers rate, review and discuss all things cinema.",-,MUBI,,,Curated Film Streaming Service ,,,"$750,000","Aug  1, 2007","$1,400,000","Mar 26, 2009","$2,400,000","Jan  9, 2011","$15,000,000","Dec 31, 2014",Series C,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Nusym-Technology,"$100,000","Mar 19, 2010",,,,,,"$8,000,000","Sep 10, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Chukong-Technologies,,,,,,"$1,200,000","Jan  1, 2011","$14,000,000","Jul  1, 2011","$18,000,000","Sep  4, 2012","$50,000,000","Oct 18, 2013",,GitHub_funding,,,,,,,,,,,,,,
,Advertising,Anchor-Intelligence,,,,,,"$2,000,000","Jan  1, 2007","$4,000,000","Sep  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Software,Xlerant,"$325,000","Apr 16, 2013",,,,"$1,200,000","Jan 10, 2008","$3,000,000","Jan 25, 2012","$450,000","Mar 25, 2014",,,-,GitHub_funding,,,,,,,,,,,,,,
"Simplilearn provides Online classes, classroom training and practice tests for PMP, PRINCE2, ITIL, CFA, FRM, Six Sigma, Cloud Computing, CISA, SAP, Microsoft and more.",Tutoring,Simplilearn,,,,,,"$3,000,000","Apr  5, 2012","$10,000,000","Sep 17, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Instantly™ is the world’s largest audience and insights platform, providing researchers and marketers with immediate access to consumers and automated insights tools to make faster, better decisions. Instantly is based in Los Angeles, with offices in the United States, Europe and Asia. For more information, visit www.instant.ly.",MMO Games,Instantly,,,,,,"$1,290,000","Apr  1, 2008","$3,000,000","Jan 14, 2009","$10,250,000","Jun 22, 2010","$15,000,000","Jul 15, 2013",Series C,GitHub_funding,,,,,,,,,,,,,,
"E3 is a Micro-Biomass Power Generator, which provides decentralized energy in developed and emerging markets. The compact power plant uses solid biomass to generate high-quality syngas, which is used to produce up to 22 kW of electricity and 55 kW of thermal energy. It is the first patented, mass-produced, fully automated biomass generator in the world, operating on or off-grid. The performance is significantly higher than its alternative technology competitors meanwhile being the most price-competitive.The biomass generator can be easily transported anywhere in the world. Its modular concept enables individual units to be combined to form a… · More larger plant while maintaining scalable power generation – SMART Plant – turning off a portion of a power plant during off peak demand.  E3 is competitive even without government incentives. It can be consumed locally or sold to the electricity grid. The generator also provides heating and cooling. ",Specialty Chemicals,Entrade-Energiesysteme-AG,,,Micro Biomass Electricity Generator,,,"$54,000,000","Dec 31, 2012","$15,120,000","Dec 31, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Poxel,,,,,,"$20,300,000","Aug 27, 2010","$13,500,000","Sep  9, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Shipping,Open-Mile,"$3,000,000","Mar  1, 2012",,,,,,"$6,000,000","Feb  1, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Cyber-Rain,Unknown,"Jun 18, 2007",,,,"$1,500,000","Jul  8, 2008","$1,800,000","Oct 11, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Testing,SCIenergy,"$12,000,000","Apr  1, 2014",,,,,,"$15,700,000","Jan 19, 2011","$9,600,000","Aug 29, 2011",,,Series D,GitHub_funding,,,,,,,,,,,,,,
,Software,nGage-Labs,"$14,000,000","Jun 17, 2013",,,,,,"$6,900,000","Jul 23, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Mobile,JackBe,"$1,500,000","Nov 19, 2010",,"$3,500,000","Apr  8, 2010",,,"$6,500,000","Jan 10, 2006","$9,500,000","Oct 23, 2007","$5,000,000","Dec 16, 2008",Series A,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Lancope,"$1,600,000","Nov 24, 2006",,,,"$5,500,000","Apr 10, 2002","$5,000,000","Mar 11, 2003","$12,500,000","Apr 13, 2004",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Software,Article-One-Partners,,,,,,"$3,000,000","Dec 15, 2009","$7,000,000","Mar  5, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Threaded together by innate curiosity, fierce intelligence, and revolutionary technology, we reflect a diverse patchwork of life and career experiences. We’re builders. We’re dreamers. We’re doers.We've built a platform for real-time open data analysis that aggregates, analyzes, and forecasts legal data. We want to create a transparent, predictable legal system via machine learning. With more than $18.3M in venture capital, we're backed by Renren, Mark Cuban, Jerry Yang, Steve Case, Visionnaire, and NEA. FiscalNote Prophecy allows the real-time searching, tracking, and forecasting of legislation (with over 94% accuracy) from all 50 states and… · More Congress. We've developed a regulatory product and mapped out plans to invade the case law space. As a result, orgs can reduce political risk, decrease compliance costs, and make more real-time decisions.• CNN's Top 10 Most Innovative Startups of 2014• Forbes Top 100 Analytics Startups of 2015• Business Insider Top 25 Startups in America",Small and Medium Businesses,FiscalNote,"$25,000","Jun  7, 2013",Unlocking open data and making it useful.,"$1,200,000","Sep  5, 2013","$7,000,000","Nov 19, 2014","$10,000,000","Feb  3, 2015",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Yext is the global Digital Location Management (DLM) leader, helping over 500,000 business locations reach mobile consumers across a network of 100+ app, map, directory, search engine, and social media partners including Apple, Bing, Facebook, Foursquare, Yahoo, and Yelp.Yext's mission is to enable the world's 50 million businesses to tap into the power of location and drive face-to-face and digital interactions that boost customer engagement, build audiences, and increase sales through three core products—PowerListings®, Pages, and Xone™.Based in the heart of New York City with a growing team of over 400 employees worldwide, Yext has been… · More recognized as one of America’s fastest growing companies by the Inc. 500 (#212 in 2015), one of Forbes Most Promising Companies (2014 & 2015) and one of Fortune's Best Places to Work (2014).Learn more about how Yext helps people go places at yext.com.",,Yext,"$50,000,000","Jun  6, 2014",The global Digital Location Management leader.,"$250,000","Nov  1, 2006","$1,500,000","Jun  1, 2008","$2,000,000","Sep  1, 2008","$25,000,000","Oct  1, 2009","$10,000,000","Jul 28, 2011",,GitHub_funding,,,,,,,,,,,,,,
,Television,SenSage,"$179,000","Jan  1, 2012",,,,,,,,"$10,000,000","Apr 18, 2005","$5,000,000","Apr 11, 2007",-,GitHub_funding,,,,,,,,,,,,,,
"Most of the things we own, from shoes to surfboards, from watches to washing machines, we rarely or never use.  Everyone has something in their closet sitting unused or underused, and Tradesy is on a mission to make the resale value of anything you own available on demand. Tradesy eliminates the friction and pain points of traditional marketplaces, making it simple for anyone with unused or underused items in their closet to become a seller in seconds.Listing an item is as easy as snapping a few photos, and Tradesy provides pricing recommendations, cleans and enhances photos, and sends shipping kits when items sell, so shipping is hassle-free. Free returns,… · More guaranteed authenticity, and top-notch customer service have led the media to label Tradesy ""The Zappos of resale"".",Software,Tradesy,,,Cash in on your closet,,,"$1,500,000","Oct 20, 2012","$13,000,000","Mar 19, 2014","$30,000,000","Jan 27, 2015",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Loyalty Programs,Skyrider,"$12,000,000","Oct 23, 2006",,,,,,,,"$5,000,000","Mar  5, 2008",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Advertising,Infolinks,,,,,,"$1,500,000","Apr  1, 2008","$1,000,000","Feb  1, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Novinda,,,,,,,,,,"$6,000,000","Feb 13, 2012",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Wireless,Handmark,,,,,,,,"$5,000,000","Sep  7, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Alfresco,,,,,,"$2,500,000","Jul  1, 2005","$8,000,000","Feb  8, 2006","$9,000,000","Jan 22, 2008","$45,000,000","Aug 21, 2014",,GitHub_funding,,,,,,,,,,,,,,
,Travel & Tourism,Ozmo-Devices,"$6,000,000","Apr  1, 2012",,"$750,000","Jun 25, 2009","$12,550,000","Mar 30, 2006",,,"$7,500,000","Sep 13, 2009","$10,778,000","May 25, 2010",Series C,GitHub_funding,,,,,,,,,,,,,,
,Sports,MaxPreps,,,America's Source for High School Sports.,,,,,"$7,000,000","Jul 19, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"There's a $250B shortfall in SME financing across Europe every year, and a deficit in other regions at least as large. DueDil is addressing this by transforming private company data and making it discoverable.We link data, map it to networks, give it context and deliver access to all businesses. By making the power of data self-evident to all businesses, we're expanding the market for business information and services to the 80% of businesses who aren't being served by current data providers.",Data Visualization,DueDil,,,The data backbone of business,Unknown,"Aug 14, 2012","$5,000,000","Apr 12, 2013","$17,000,000","Mar  3, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Avega-Systems,"$2,500,000","Jan 13, 2010",,,,,,"$7,000,000","Apr  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Our simple, innovative software solutions give you visibility into the risk associated with your IT, your users and the real threats you face. Our software helps you quickly prioritize threats, manage risk, and take the right steps to improve your organization's security. We understand every organization is different and the best approach for you may not be the best approach for someone else.With broad visibility and contextual insight into what's happening in your information security environment, we give you the ability to adapt to whatever obstacles rise up in the road before you so your organization can go as fast as it needs.",Curated Web,Rapid7,"$2,000,000","Oct 23, 2012",Vulnerability management & penetration testing software,,,"$7,000,000","Sep 17, 2008","$2,000,000","Mar 15, 2010","$50,000,000","Nov 17, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
"Whether you want the simplest, most robust tools to turn your media social, or to find the right audience for your advertising message, ShareThis puts sharing to work for you. Use the most innovative social media and sharing platform for the Web, ShareThis.",,ShareThis,"$1,500,000","Dec 14, 2012",We make social data actionable,,,"$6,000,000","Jan  1, 2007","$15,000,000","Mar 13, 2008","$30,000,000","Mar 26, 2013",,,,GitHub_funding,,,,,,,,,,,,,,
,Marketing Automation,Xeround,,,,,,"$6,500,000","Mar 17, 2005","$16,000,000","Jul  9, 2008","$9,300,000","Dec 14, 2011","$4,000,000","Oct 15, 2012",Series B,GitHub_funding,,,,,,,,,,,,,,
"CloudMade works with the world's leading automotive and consumer electronics OEMs to help them deliver mobility experiences that are truly remarkable.  From smartphones to wearables to the connected car, CloudMade is an established pioneer of location based technologies that enable bold new user experiences.",Automotive,CloudMade,,,Building comprehensive blocks and solutions for the Connected Car ,"$100,000","Jan  1, 2007","$2,400,000","Mar 17, 2008","$9,500,000","Jul 27, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
PowerCloud Systems is the leading provider of cloud-managed networking device software for OEMs.,Software Compliance,PowerCloud-Systems,Unknown,"Dec  1, 2010",,,,,,"$6,000,000","Dec 14, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"140 Proof delivers revenue to app developers via our targeting API: we recommend tweets based on your unique interest graph. We have traction in iPhone, Android, OS X, Windows, and web apps, reaching over 300mm people, and our millions of engaged users are evidenced by our strong click-through rate.",File Sharing,140-Proof,,,Ads for humans. Powered by the Blended Interest Graph.,,,"$3,000,000","Jul  1, 2009","$2,500,000","Apr 28, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Energy Efficiency,Triumfant,,,,,,,,"$9,000,000","Mar  2, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Colleges,Playphone,"$67,200,000","Jan  1, 2012",,,,,,"$9,100,000","Aug 28, 2006","$18,750,000","May  1, 2007",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Software,Black-Sand-Technologies,,,,,,"$8,199,999","Jul 30, 2007",,,"$10,000,000","Feb 14, 2012",,,-,GitHub_funding,,,,,,,,,,,,,,
,Virtual Reality,Challenge-Games,,,,,,"$4,500,000","Jul 10, 2008","$10,000,000","Sep  1, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"EcoMotors develops unique, fuel efficient, clean burning and quiet internal combustion engines for on-road and off-road applications.",Ticketing,EcoMotors,"$2,800,000","Jan 11, 2008",,,,,,"$23,500,000","Jul 12, 2010","$32,500,000","Jul 10, 2012",,,Seed,GitHub_funding,,,,,,,,,,,,,,
,-,Trellia-Networks,"$2,000,000","Jan 19, 2009",,,,"$3,300,000","Jan 10, 2005","$3,500,000","Jun 13, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Community-Veterinary-Partners,"$500,000","Dec  3, 2009",,,,,,"$1,100,000","Jan 23, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
Simple. Safe. Fun. Anonymous chat. http://AppStore.com/Revealhttp://techcrunch.com/2014/09/18/reveal-chat-for-ios-helps-you-build-real-social-connections-via-anonymous-chat,Photo Sharing,Reveal,,,"The ""Ask Me Anything"" social network using cryptocurrency to transform social media","$640,000","Sep  9, 2012",,,"$1,000,000","Dec 20, 2013",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,Graphics,Inlet-Technologies,"$3,000,000","Dec 14, 2007",,,,,,"$9,400,000","Jul 26, 2005","$10,000,000","Sep  8, 2008",,,,GitHub_funding,,,,,,,,,,,,,,
"BaubleBar offers on-trend jewelry styles and contextualizes them with strong editorial references. The company is quickly becoming the first go-to retailer within the $22bn fashion jewelry industry. BaubleBar’s core differentiating factor is its fast speed to market, recognized through its unique sourcing capabilities. The company leverages this by using real-time data to merchandise and design based on current market dynamics and consumer taste preferences.  BaubleBar was founded by Amy Jain and Daniella Yacobovsky in 2011 and has raised $15.6 million in equity financing to date. The Company most recently raised $10 million in Series B funding, in a round led by… · More Burch Creative Capital, the investment firm headed by retail and fashion veteran Chris Burch. Other leading investors in the Company include Accel Partners, Greycroft Partners, Aspect Ventures, Comcast Ventures, Founder Collective and Lerer Media Ventures. The company is headquartered in New York City",Fashion Tech,BaubleBar,,,The Final Say in Fashion Jewelry,,,"$1,100,000","Nov  5, 2010","$10,000,000","Jul 29, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Gliknik,"$2,800,000","Sep  3, 2013",,,,"$2,900,000","Jan 13, 2010","$4,900,000","Oct  8, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,,Appcelerator,"$12,100,000","Jul 16, 2013",,,,"$4,100,000","Dec  1, 2008","$9,000,000","Oct 26, 2010","$15,000,000","Nov  1, 2011","$22,000,000","Aug 25, 2014",,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Affinergy,,,,,,,,"$3,000,000","Mar  8, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Neuroptix,"$390,000","Apr 24, 2014",,,,,,,,"$4,600,000","Jan  7, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
"We're building a Beepin' great end-to-end experience for buying and selling pre-owned cars. We connect buyers and sellers, in an organized, efficient and safe environment.  Sellers sign up their car to see the price we'll sell it for, and we take it from there. We conduct a comprehensive pre-purchase inspection, take great photos and find you a buyer. Simply tell us when we can come inspect, and when we can come pick it  up to deliver it to the buyer. We even take care of transferring the title, with none of the hassle of negotiations.  To make sure buyers love their car, we offer a 10-day, no questions asked return policy. But sellers,… · More don't worry. Once you've sold your car, it's sold. We take it back ourselves, and the money is yours to keep. And because we have no salespeople to pay or huge lots and showrooms to maintain, we guarantee that sellers get more and buyers pay less than at any dealer. That win/win combination is something we proudly call a ""Beepin' miracle.""",,Beepi,"$1,300,000","Nov 21, 2013",Buying and Selling a Car. More than Improved. Elevated.,,,"$5,000,000","Apr 15, 2014","$72,700,000","Dec 30, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Founded in 2006, Gigaom is the leading global voice on emerging technologies. Our blog, research and events humanize technology and provide deep insight on disruptive companies, people and trends.",Cloud Infrastructure,Gigaom,"$8,000,000","Feb 20, 2014","Gigaom provides intelligent, credible analysis of emerging technologies.",,,"$325,000","Jun  1, 2006","$1,000,000","Nov 14, 2007","$4,500,000","Oct  6, 2008","$2,500,000","Oct 22, 2010",Series B,GitHub_funding,,,,,,,,,,,,,,
,Data Security,HighRoads,"$3,700,000","Jun 19, 2014",,,,,,"$8,000,000","Dec  5, 2005","$9,000,000","Jun 25, 2007",,,Series B,GitHub_funding,,,,,,,,,,,,,,
Reach millions of new customers with touch and tablet ready content and apps. Transform existing web channel into richly interactive destinations.,Diabetes,Amplience,"$1,400,000","Mar 17, 2014",,,,,,"$5,700,000","Jul 30, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Packlink is an online shipping management service for all business needs. We offer apps and tools to make parcel delivery fast and easy. Private users, e-commerce sites and SMBs can now manage their parcel deliveries with the world's main couriers with a few clicks only.",Cloud Infrastructure,Packlink,,,The online shipping management service for all shipping needs,,,"$1,500,000","Apr  4, 2013","$9,000,000","Jun  6, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"NetIQ provides proven IT system management, security management, and performance management software for the modern enterprise.",Energy Efficiency,NetIQ,,,,,,,,"$7,400,000","Nov 29, 2005",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Nimble-Storage,"$40,700,000","Sep 10, 2012",,,,"$8,800,000","Dec 21, 2008","$8,300,000","Dec 24, 2008","$16,000,000","Dec  8, 2010","$25,000,000","Jul 14, 2011",,GitHub_funding,,,,,,,,,,,,,,
"We have commercialized a novel respiratory depression monitor, which provides physicians early indication of deteriorating or inadequate respiration in advance of existing technologies and of adverse events. At current standard of care, there are 350,000 respiratory arrests annually, 1 million post-surgical pulmonary complications, resulting in 5 million added hospital days and over $12B in cost. With the help of our technology, clinicians can now predict a deteriorating respiratory condition, prevent further compromise and negative outcomes, and reduce added costs. We have validated the technology in thousands of patients in the acute and ambulatory settings in… · More multiple clinical trials proving accuracy and clinical utility standalone and in combination with devices and therapeutics. The product is cleared for use in the US (FDA 510(K)), Canada, and Saudi Arabia, with CE mark, Japanese, and Korean regulatory approvals pending.",Finance,Respiratory-Motion,,,,,,"$1,500,000","Dec 21, 2011","$8,000,000","Jan 22, 2014","$2,700,000","Mar  1, 2015",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,-,My-Docket,,,,,,"$3,600,000","Mar  6, 2013","$1,000,000","Jun  9, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,Mes-Materiaux,,,,,,"$1,760,000","Jul 14, 2012","$3,790,000","Jun 11, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Analytics,Kickfire,,,,,,,,"$20,000,000","Jul 31, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Breathe-Technologies,,,,,,,,"$15,000,000","Mar 28, 2008","$23,000,000","May 20, 2010",,,Series A,GitHub_funding,,,,,,,,,,,,,,
"AppFirst delivers powerful, yet simple application monitoring to provide DevOps professionals and Tech Execs with full-stack visibility into systems, applications and business metrics. Our SaaS-based DevOps Dashboard is powered by a flexible big data platform that collects, analyzes and correlates numerous sources of data -- from logs to StatsD to Nagios plug-ins to millions of low-level process metrics.",Graphics,AppFirst,"$2,700,000","May 23, 2014",Collect  |  Aggregate  |  Correlate,"$500,000","Jul  1, 2010","$4,000,000","Sep  6, 2011","$8,700,000","Dec  6, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Networking,ROAM-Data,Unknown,"Feb 27, 2012",,,,,,"$6,500,000","Nov 23, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,Vizury-Interactive-Solutions,,,,,,"$2,000,000","Nov 27, 2010","$9,000,000","Oct 26, 2012","$16,000,000","Jun 12, 2014",,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Descomplica is the largest online classroom in Brazil. Our initial market is Brazilian High School students, and to date we have helped millions of students with general curriculum and test prep for university entrance exams.  The comprehensive curriculum consists of 15,000 videos + live video lessons broadcasted multiple times per day and our record class in 2015 reached 250k attending students and our Twitter Hashtag reached the top trending hashtag in all of the world.Descomplica is expanding rapidly-  growing revenues well  outpacing the Board of Directors approved plan substantially.A bit of context on the Brazilian education… · More market:Brazilian Education Market is massive with approx $75B spent offline  and Descomplica is at the forefront of that market moving online. The ENEM (Brazil's #1 university entrance exam that Descomplica is focused on)  is taken by 9M Brazilian students/yr, and offers an excellent opportunity to capture Brazilian students early.",Computer Vision,Descomplica,,,Brazil's Largest Online Classroom,,,"$1,500,000","Nov 19, 2012","$5,000,000","Feb  6, 2014","$7,000,000","Jun 12, 2015",,,Series B,GitHub_funding,,,,,,,,,,,,,,
CardCash is the largest online gift card exchange. Sell gift cards for cash and buy discount gift cards for up to 35% off! Join the gift card revolution!,Technology,Plastic-Jungle,Unknown,"Jan 18, 2012",,,,"$6,000,000","Jan  1, 2009","$7,400,000","Mar 18, 2010","$10,000,000","Nov 18, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"XIFIN offers a cloud-based, revenue cycle management system for diagnostic service providers.",Semiconductors,PathCentral,"$1,900,000","Nov 27, 2012",,,,,,"$10,000,000","Nov  2, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Teradiode,"$3,200,000","Aug 23, 2011",,,,,,"$10,000,000","Nov 18, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Coub is a short looped video service. They are easy to create online and can be featured with soundtrack. The resulting videos are highly viral, thats why Coub is a fast growing. It has already more than 19M unique visitors per month.",Curated Web,Coub,,,Looped videos up to 10 seconds long.,,,"$1,000,000","Jul 18, 2013","$2,500,000","Jul 29, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Software,OptiMine-Software,"$4,200,000","Jan 22, 2014",,,,"$1,100,000","Jan  5, 2011","$3,600,000","Oct 24, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
Impact the Customer Experience in Milliseconds  	Your company collects terabytes of data from customer interactions. But can you use that Big Data to impact customer interactions in a timeframe that matters?,Social Media,Causata,,,,,,"$4,500,000","Oct  5, 2009","$11,000,000","Nov  1, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,CircuLite,"$11,500,000","Apr  1, 2009",,,,,,,,"$32,500,000","Jan  5, 2010","$30,000,000","Nov 30, 2011",Series D,GitHub_funding,,,,,,,,,,,,,,
"Diablo Technologies Ottawa homepage. Diablo Technologies is the creator of bleeding-edge, lightning fast storage technology for the Fortune Global 2000.",Online Video Advertising,Diablo-Technologies,"$7,500,000","Mar 19, 2013",,,,,,"$15,000,000","Jul 29, 2008",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Crowdtap, the People-Powered Marketing Platform, is a new operating system for brands powered by the people who love them. Our platform makes it easy for brands to put consumers at the heart of their marketing to drive product ideation, inform marketing strategy and create authentic content that fuels earned media. In 2014, Crowdtap was named one of the 100 Most Promising Companies in America by Forbes and the No. 54 fastest-growing private company in the Inc. 500 List. The company has been ranked as the No. 3 Best Place to Work in New York by Crain’s, and the No. 6 Best Tech Company to Work For by Mashable. With a growing community of passionate… · More members, Crowdtap works with leading brands including General Mills, Heineken, Kraft Foods, P&G, Verizon, Walmart and Yum Brands.Headquartered in New York, Crowdtap has raised $15 million through the Foundry Group, Tribeca Venture Partners, Alta Communications and The Mustang Group.Visit corp.crowdtap.com for more information. ",Loans,Crowdtap,,,,"$3,000,000","Aug  1, 2009","$7,000,000","Jul 27, 2011","$5,000,000","Mar 20, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Incentives,Whaleback-Systems,"$220,000","Aug 25, 2010",,,,"$3,000,000","Jul 27, 2005","$7,500,000","Sep 25, 2006",,,"$122,200","Apr  5, 2010",Series A,GitHub_funding,,,,,,,,,,,,,,
"Segment is a customer data hub. We let developers install customer data tracking once, and then send their data anywhere they need it. We have libraries for browser javascript, server-side languages, iOS and Android. We process billions of datapoints a month for thousands of companies, ranging from startups to the Fortune 500.",,Segment,,,The World's First Customer Data Hub,"$580,000","Jan 25, 2013","$15,000,000","Oct 18, 2014","$27,000,000","Oct  9, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Mobile Games,DoubleVerify,"$33,000,000","Aug 30, 2011",,,,"$3,500,000","May 18, 2009","$10,000,000","Mar  8, 2010",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Health Care,SynCardia-Systems,"$14,000,000","Dec 17, 2013",,,,,,"$3,700,000","May 24, 2004",,,"$10,300,000","Jun 24, 2009",-,GitHub_funding,,,,,,,,,,,,,,
,Advertising,NextMedium,,,,,,"$3,500,000","Feb  1, 2005","$6,000,000","Jul 24, 2006",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
