company_name,funding_total_usd,funding_type,category,city,founded_year,data_source
DigitalSystems95,10841914,Series A,Consumer Apps,Oakland,2022,Generated
AIHub46,392407310,Series E,Cloud Infrastructure,San Francisco,2023,Generated
AIWorks,170002033,Series D,AI,Berkeley,2019,Generated
DigitalPlatform,37154381,Series B,CleanTech,Berkeley,2018,Generated
Orion App,62594275,Series C,E-commerce,Sunnyvale,2019,Generated
DigitalApp,77086248,Series C,MarTech,San Francisco,2023,Generated
SmartSystems,267322872,Series E,Hardware,Menlo Park,2019,Generated
Cipher App30,23931237,Series B,AgTech,South San Francisco,2022,Generated
Quantum Networks,194759981,Series D,MarTech,Mountain View,2023,Generated
SmartNetworks,565037,Pre-seed,Robotics,South San Francisco,2024,Generated
CloudLabs,165281020,Series D,CleanTech,Palo Alto,2024,Generated
Zephyr Works,166531919,Series D,Hardware,Menlo Park,2022,Generated
SmartNetworks84,170271922,Series D,IoT,South San Francisco,2023,Generated
QuantumHub,70879878,Series C,E-commerce,Sunnyvale,2024,Generated
Quantum AI,179372759,Series D,AI,Redwood City,2020,Generated
QuantumSystems,9340697,Series A,DevOps,San Mateo,2021,Generated
CloudWorks88,374395296,Series E,HealthTech,Palo Alto,2021,Generated
NetWorks,15077104,Series B,AR/VR,Palo Alto,2021,Generated
Stellar Solutions,4550713,Seed,IoT,Palo Alto,2020,Generated
CloudSolutions,127921455,Series D,PropTech,Palo Alto,2024,Generated
CloudNetworks,91274914,Series D,Blockchain,Menlo Park,2022,Generated
TechSystems38,448108,Pre-seed,Hardware,Redwood City,2023,Generated
SmartNetworks,40671469,Series C,HealthTech,San Mateo,2024,Generated
SmartSystems24,36196153,Series B,MarTech,Mountain View,2021,Generated
CloudNetworks,331164,Pre-seed,Gaming,South San Francisco,2021,Generated
AINetworks52,40351274,Series B,AI,Redwood City,2023,Generated
DataSystems38,40723216,Series B,PropTech,San Jose,2019,Generated
MetaLabs,135010512,Series E,AI,Redwood City,2020,Generated
DigitalPlatform90,3848251,Seed,Consumer Apps,San Jose,2021,Generated
CloudPlatform,3730355,Seed,Data Analytics,Oakland,2023,Generated
Apex App64,498625,Pre-seed,E-commerce,San Francisco,2023,Generated
QuantumAI,104760521,Series D,Data Analytics,San Francisco,2020,Generated
Atlas Solutions39,800807,Pre-seed,DevOps,South San Francisco,2020,Generated
Aegis Systems,503782,Pre-seed,AR/VR,Palo Alto,2023,Generated
TechHub,27783387,Series B,CleanTech,Oakland,2022,Generated
CyberHub13,713420,Pre-seed,IoT,Palo Alto,2019,Generated
AIWorks,2873515,Seed,E-commerce,Redwood City,2018,Generated
Cipher Labs96,45687824,Series C,EdTech,Sunnyvale,2021,Generated
NetHub,99424856,Series D,Biotech,Sunnyvale,2020,Generated
TechNetworks,41689053,Series B,EdTech,South San Francisco,2021,Generated
CloudPlatform,177746501,Series D,Enterprise Software,Palo Alto,2022,Generated
CloudPlatform,476112612,Series E,AgTech,Oakland,2022,Generated
QuantumSolutions,2795260,Seed,AgTech,San Mateo,2024,Generated
DataPlatform,9780181,Series A,FinTech,Mountain View,2019,Generated
TechTech,48440499,Series B,AI,Palo Alto,2021,Generated
Orion Networks,271354528,Series E,FinTech,Berkeley,2020,Generated
Stellar Hub,95357313,Series D,Enterprise Software,South San Francisco,2023,Generated
CloudWorks,196881959,Series D,Enterprise Software,Oakland,2020,Generated
TechTech,16704887,Series B,SaaS,Menlo Park,2020,Generated
AISolutions,14328912,Series A,Cybersecurity,Oakland,2019,Generated
Zenith Labs,374533241,Series E,E-commerce,Oakland,2022,Generated
AILabs95,5706497,Series A,PropTech,Palo Alto,2021,Generated
NetSystems,261467,Pre-seed,Cloud Infrastructure,Palo Alto,2020,Generated
AITech,7647768,Series A,Gaming,Oakland,2024,Generated
Orion App69,30562761,Series B,Biotech,San Mateo,2022,Generated
SmartLabs,241944347,Series E,IoT,Sunnyvale,2018,Generated
Cipher Systems,723771,Pre-seed,MarTech,San Jose,2020,Generated
CloudApp,181809305,Series D,Cloud Infrastructure,San Francisco,2020,Generated
CyberNetworks,228362237,Series E,IoT,Redwood City,2022,Generated
SmartWorks39,5802751,Series A,CleanTech,San Francisco,2024,Generated
Quantum Labs45,62629077,Series C,Gaming,Palo Alto,2020,Generated
Orion Networks,53548240,Series C,AgTech,San Jose,2020,Generated
DigitalAI,977202,Pre-seed,AI,Sunnyvale,2022,Generated
Stellar Platform,1429311,Seed,Gaming,Mountain View,2018,Generated
SmartNetworks,22818668,Series B,Data Analytics,Mountain View,2024,Generated
TechSystems,65739790,Series C,DevOps,San Jose,2020,Generated
CloudSystems,15310599,Series A,Cybersecurity,South San Francisco,2023,Generated
NetAI,37867401,Series C,IoT,Oakland,2021,Generated
CloudApp,21551813,Series B,AgTech,San Francisco,2024,Generated
DataNetworks83,33319959,Series B,AR/VR,Palo Alto,2019,Generated
TechSolutions,97612624,Series C,MarTech,South San Francisco,2023,Generated
NetWorks,77350184,Series C,FinTech,Redwood City,2021,Generated
Aether Labs5,91333161,Series C,FinTech,Sunnyvale,2024,Generated
SmartLabs99,281412,Pre-seed,EdTech,Oakland,2023,Generated
DataPlatform38,1907251,Seed,Enterprise Software,South San Francisco,2022,Generated
CloudPlatform,58352270,Series C,AR/VR,Sunnyvale,2018,Generated
MetaPlatform92,2686262,Seed,Enterprise Software,Mountain View,2020,Generated
Luminar Labs,39832811,Series B,IoT,Menlo Park,2024,Generated
TechSolutions,119916016,Series E,PropTech,Berkeley,2021,Generated
AIApp35,499380,Pre-seed,Hardware,South San Francisco,2019,Generated
Atlas AI80,157372417,Series D,Cloud Infrastructure,Mountain View,2020,Generated
DataHub,82857050,Series C,Blockchain,Palo Alto,2021,Generated
CloudApp30,119772803,Series D,Biotech,South San Francisco,2020,Generated
Aether Systems78,15038509,Series A,PropTech,Sunnyvale,2020,Generated
Helios Platform,32982547,Series C,Blockchain,Palo Alto,2020,Generated
MetaLabs,33562923,Series B,MarTech,Sunnyvale,2020,Generated
Nexus Platform,2273998,Seed,Blockchain,San Jose,2020,Generated
Helios App4,3683359,Seed,SaaS,Sunnyvale,2024,Generated
Helios AI13,214524120,Series E,Biotech,San Mateo,2021,Generated
Aegis Labs,19242436,Series B,FinTech,Palo Alto,2022,Generated
TechApp,83131894,Series C,Cryptocurrency,Oakland,2020,Generated
Orion Networks67,18440362,Series A,IoT,San Francisco,2024,Generated
NetSolutions,15749183,Series A,Cloud Infrastructure,Oakland,2024,Generated
CloudApp93,290541436,Series E,Hardware,Menlo Park,2024,Generated
DataSolutions,12459823,Series A,Data Analytics,Mountain View,2021,Generated
MetaTech82,871658,Pre-seed,DevOps,Menlo Park,2019,Generated
Quantum Tech,206876942,Series E,Consumer Apps,Redwood City,2023,Generated
DigitalHub,1148721,Seed,CleanTech,Mountain View,2019,Generated
SmartPlatform,16352595,Series A,HealthTech,Berkeley,2020,Generated
Elysium Platform,401395196,Series E,Consumer Apps,Palo Alto,2020,Generated
DataLabs31,4160239,Seed,Consumer Apps,Oakland,2018,Generated
CyberSystems,123091496,Series D,AR/VR,Oakland,2018,Generated
Nexus Solutions22,12139516,Series A,AgTech,Menlo Park,2022,Generated
TechTech64,314294,Pre-seed,AR/VR,Palo Alto,2019,Generated
SmartNetworks,51988928,Series C,IoT,Sunnyvale,2021,Generated
SmartHub,12690723,Series A,HealthTech,South San Francisco,2018,Generated
CloudTech49,34164238,Series C,AI,South San Francisco,2023,Generated
CyberNetworks,307920599,Series E,Hardware,San Francisco,2024,Generated
Cipher Labs,103957028,Series D,Hardware,Palo Alto,2023,Generated
Aegis Networks63,1423112,Seed,Hardware,Berkeley,2024,Generated
Atlas Works,195453958,Series D,Blockchain,Palo Alto,2018,Generated
Nexus Platform42,103888206,Series D,FinTech,San Mateo,2024,Generated
DigitalSolutions31,4773539,Seed,AgTech,Sunnyvale,2022,Generated
TechPlatform56,37063128,Series B,DevOps,South San Francisco,2022,Generated
AINetworks81,62510155,Series C,IoT,Menlo Park,2024,Generated
Nexus Hub51,90985774,Series D,SaaS,San Francisco,2018,Generated
TechLabs,458496114,Series E,Blockchain,South San Francisco,2019,Generated
DigitalApp,28954564,Series B,Gaming,Mountain View,2023,Generated
Stellar Works,631216,Pre-seed,Hardware,Redwood City,2021,Generated
TechSystems,99133431,Series C,Blockchain,San Mateo,2020,Generated
CyberApp,49139786,Series B,Enterprise Software,South San Francisco,2022,Generated
CloudSystems50,671892,Pre-seed,CleanTech,Menlo Park,2019,Generated
Stellar Labs,95416296,Series C,FinTech,Oakland,2023,Generated
DataSystems,931143,Pre-seed,Gaming,Sunnyvale,2023,Generated
SmartApp,98605577,Series D,AI,Mountain View,2023,Generated
Zenith Solutions,134161514,Series D,AR/VR,Mountain View,2021,Generated
CloudHub71,491313,Pre-seed,Enterprise Software,Mountain View,2022,Generated
TechApp1,38219637,Series C,Enterprise Software,Palo Alto,2021,Generated
CloudNetworks,664653,Pre-seed,FinTech,South San Francisco,2022,Generated
TechSolutions,179585966,Series D,Data Analytics,Sunnyvale,2020,Generated
CyberSolutions60,23191518,Series B,AI,Redwood City,2018,Generated
QuantumTech,85025070,Series C,MarTech,San Francisco,2024,Generated
MetaHub,66828449,Series C,Cybersecurity,Menlo Park,2021,Generated
CyberNetworks,41414208,Series B,Gaming,Menlo Park,2021,Generated
SmartWorks,48602679,Series B,Hardware,Oakland,2022,Generated
Aegis Hub,1185038,Seed,Enterprise Software,Redwood City,2022,Generated
Elysium Platform,17358938,Series A,Blockchain,San Francisco,2024,Generated
NetApp,173189485,Series E,Data Analytics,Sunnyvale,2024,Generated
QuantumNetworks15,1091385,Seed,HealthTech,San Mateo,2018,Generated
CloudHub53,13208136,Series A,EdTech,Menlo Park,2023,Generated
DigitalAI,3002165,Seed,AI,Redwood City,2024,Generated
AIHub,133145385,Series E,HealthTech,Mountain View,2023,Generated
TechPlatform77,6775289,Series A,Gaming,Mountain View,2020,Generated
Atlas Hub,131698722,Series D,Enterprise Software,Menlo Park,2022,Generated
CyberWorks,24128826,Series B,Consumer Apps,Berkeley,2024,Generated
MetaNetworks37,6538270,Series A,CleanTech,San Mateo,2022,Generated
TechSolutions,40922155,Series B,CleanTech,Palo Alto,2022,Generated
Apex Platform,16686008,Series B,AI,San Jose,2019,Generated
AISolutions64,216798744,Series E,PropTech,Sunnyvale,2024,Generated
NetHub,54373303,Series C,DevOps,San Francisco,2024,Generated
TechTech72,308848,Pre-seed,IoT,Sunnyvale,2021,Generated
Luminar Platform,2412965,Seed,HealthTech,South San Francisco,2024,Generated
AINetworks,452346,Pre-seed,IoT,Oakland,2021,Generated
Zephyr Works39,31468431,Series C,AgTech,Redwood City,2022,Generated
CyberTech,108293910,Series D,Data Analytics,Redwood City,2018,Generated
MetaNetworks,139998864,Series D,Robotics,South San Francisco,2021,Generated
MetaSolutions,5545855,Series A,Cloud Infrastructure,Mountain View,2019,Generated
MetaNetworks39,889323,Pre-seed,IoT,San Jose,2024,Generated
Zephyr Systems,230055926,Series E,AR/VR,Palo Alto,2020,Generated
TechLabs,4374717,Seed,DevOps,South San Francisco,2018,Generated
NetHub,293125658,Series E,Consumer Apps,San Jose,2021,Generated
SmartTech,2531761,Seed,Consumer Apps,Berkeley,2024,Generated
Aegis Systems,227705277,Series E,IoT,San Jose,2023,Generated
SmartAI,671156,Pre-seed,CleanTech,San Jose,2022,Generated
QuantumLabs,238631,Pre-seed,Biotech,Mountain View,2020,Generated
Zephyr Platform91,278567517,Series E,Enterprise Software,Sunnyvale,2024,Generated
Zephyr AI,90109796,Series C,FinTech,San Jose,2020,Generated
NetPlatform81,179618847,Series E,MarTech,South San Francisco,2020,Generated
AISolutions,28766469,Series B,AR/VR,Mountain View,2024,Generated
CloudHub60,172382334,Series D,E-commerce,Mountain View,2018,Generated
AISolutions,9643784,Series A,AR/VR,South San Francisco,2023,Generated
TechAI,40966493,Series B,DevOps,Palo Alto,2022,Generated
AITech,1199236,Seed,PropTech,Mountain View,2022,Generated
SmartNetworks92,330356433,Series E,Consumer Apps,Palo Alto,2021,Generated
Cipher Works,99734787,Series C,EdTech,Menlo Park,2018,Generated
CyberTech,180668053,Series D,Cryptocurrency,Sunnyvale,2022,Generated
DataSystems,173833271,Series D,AR/VR,San Jose,2022,Generated
SmartLabs,117996243,Series D,HealthTech,Palo Alto,2020,Generated
DataHub79,3901537,Seed,AgTech,Sunnyvale,2022,Generated
MetaPlatform,24635022,Series B,Hardware,Redwood City,2019,Generated
MetaHub,362934,Pre-seed,Data Analytics,Menlo Park,2021,Generated
Zephyr AI,70034796,Series C,Gaming,Menlo Park,2024,Generated
MetaTech,45986685,Series B,SaaS,San Mateo,2023,Generated
MetaPlatform27,15784159,Series A,Data Analytics,South San Francisco,2020,Generated
DataNetworks,32218400,Series C,Hardware,Palo Alto,2020,Generated
QuantumApp,965757,Pre-seed,Cloud Infrastructure,Sunnyvale,2024,Generated
Nexus Platform,3479750,Seed,PropTech,San Francisco,2021,Generated
Helios Works,148565524,Series D,AR/VR,San Mateo,2019,Generated
Quantum Systems64,4383623,Seed,AgTech,Redwood City,2023,Generated
TechLabs,161415,Pre-seed,Hardware,San Francisco,2023,Generated
Nexus Solutions,13647132,Series A,Robotics,Oakland,2019,Generated
CyberLabs86,55064044,Series C,Cryptocurrency,Palo Alto,2018,Generated
DigitalHub,88288521,Series C,Enterprise Software,Mountain View,2018,Generated
Aether Solutions,26930859,Series B,DevOps,San Jose,2018,Generated
DigitalWorks3,1917291,Seed,AI,Redwood City,2018,Generated
Zenith Solutions,87644982,Series C,AR/VR,Redwood City,2018,Generated
CyberAI,905899,Pre-seed,CleanTech,Mountain View,2020,Generated
AIWorks,4729326,Seed,Cybersecurity,Mountain View,2023,Generated
QuantumPlatform21,4819877,Seed,AI,Redwood City,2019,Generated
MetaWorks38,77698506,Series C,DevOps,Sunnyvale,2023,Generated
DigitalHub60,17780817,Series B,HealthTech,Menlo Park,2024,Generated
SmartApp,21948719,Series B,EdTech,Mountain View,2022,Generated
CloudSystems,15002290,Series A,HealthTech,Mountain View,2019,Generated
Nexus AI,28333292,Series B,Cybersecurity,San Mateo,2018,Generated
NetSystems,9425247,Series A,PropTech,San Mateo,2019,Generated
CloudNetworks,182556734,Series D,Cloud Infrastructure,Redwood City,2018,Generated
Elysium AI42,955571,Pre-seed,AI,Redwood City,2024,Generated
CloudSolutions,832737,Pre-seed,Cryptocurrency,Oakland,2020,Generated
Helios Hub75,19502543,Series A,IoT,San Francisco,2023,Generated
Zephyr App73,34181606,Series B,Cloud Infrastructure,Mountain View,2019,Generated
Orion Labs,137476356,Series D,E-commerce,Redwood City,2021,Generated
Atlas Networks,64453090,Series C,Biotech,Menlo Park,2021,Generated
SmartTech16,16019258,Series A,CleanTech,San Mateo,2022,Generated
CyberApp,3661697,Seed,Consumer Apps,Mountain View,2022,Generated
CyberNetworks,2241654,Seed,Biotech,Palo Alto,2024,Generated
DigitalSystems16,100731,Pre-seed,E-commerce,San Jose,2018,Generated
AILabs,11286745,Series A,PropTech,Redwood City,2020,Generated
Orion Works45,897700,Pre-seed,Enterprise Software,Sunnyvale,2023,Generated
Cipher Works,36132234,Series C,SaaS,Oakland,2024,Generated
Cipher Hub,71457403,Series C,EdTech,Redwood City,2018,Generated
MetaTech,352254368,Series E,Robotics,San Jose,2022,Generated
TechHub,80837905,Series C,Biotech,Mountain View,2019,Generated
DataSolutions,6444098,Series A,EdTech,Menlo Park,2024,Generated
MetaAI,17333870,Series A,E-commerce,San Mateo,2024,Generated
Nexus Labs,17091486,Series A,Data Analytics,Sunnyvale,2024,Generated
NetHub,81507393,Series D,HealthTech,South San Francisco,2020,Generated
DigitalLabs29,583199,Pre-seed,AI,Redwood City,2023,Generated
SmartNetworks,2474868,Seed,AR/VR,Mountain View,2020,Generated
CyberLabs,62877264,Series C,Robotics,Oakland,2018,Generated
NetPlatform58,49794085,Series B,Data Analytics,Palo Alto,2019,Generated
DigitalSolutions,5918309,Series A,HealthTech,San Mateo,2022,Generated
CloudWorks,85266079,Series C,CleanTech,Redwood City,2023,Generated
DataPlatform,173095329,Series E,AI,Redwood City,2020,Generated
AISystems91,241847,Pre-seed,DevOps,San Jose,2019,Generated
Helios Platform,48491856,Series C,Consumer Apps,Menlo Park,2021,Generated
DataLabs65,16294521,Series A,MarTech,Menlo Park,2018,Generated
NetAI,994851,Pre-seed,FinTech,San Jose,2023,Generated
Nexus Tech,133447760,Series D,CleanTech,Sunnyvale,2018,Generated
CyberSystems,282181,Pre-seed,E-commerce,Menlo Park,2024,Generated
DigitalNetworks,3432380,Seed,CleanTech,Mountain View,2018,Generated
Zenith Tech,56510411,Series C,Consumer Apps,San Francisco,2019,Generated
Orion Works15,74206771,Series C,Cryptocurrency,South San Francisco,2021,Generated
Apex Works78,152772757,Series D,Robotics,San Mateo,2024,Generated
DataLabs,54848351,Series C,AR/VR,San Francisco,2021,Generated
Orion Systems,808683,Pre-seed,AR/VR,Palo Alto,2018,Generated
AIPlatform,479155,Pre-seed,Enterprise Software,Mountain View,2019,Generated
DigitalAI,869057,Pre-seed,Biotech,South San Francisco,2024,Generated
Cipher Tech,71250443,Series C,AgTech,Sunnyvale,2024,Generated
Apex Platform,72427923,Series C,HealthTech,Mountain View,2021,Generated
CloudLabs,177447815,Series E,SaaS,San Mateo,2021,Generated
DigitalLabs44,4515689,Seed,FinTech,Palo Alto,2021,Generated
MetaTech60,4425034,Seed,Cybersecurity,Mountain View,2023,Generated
DataNetworks,2044652,Seed,CleanTech,Menlo Park,2023,Generated
QuantumApp,18119233,Series B,FinTech,San Francisco,2021,Generated
Prism App79,190225122,Series D,PropTech,Palo Alto,2019,Generated
DigitalPlatform,150887553,Series D,HealthTech,Palo Alto,2021,Generated
Prism Platform,809941,Pre-seed,Hardware,Oakland,2021,Generated
CloudAI,48342758,Series C,DevOps,Berkeley,2023,Generated
Elysium Hub,322425010,Series E,Hardware,San Mateo,2019,Generated
QuantumSystems,3199420,Seed,Blockchain,Sunnyvale,2023,Generated
Nexus Labs76,4543318,Seed,Biotech,Berkeley,2021,Generated
NetSolutions,1929207,Seed,Biotech,South San Francisco,2018,Generated
DigitalAI,13091844,Series A,EdTech,Mountain View,2019,Generated
CyberLabs,78450178,Series C,DevOps,Palo Alto,2023,Generated
DigitalPlatform,18608672,Series B,AI,Oakland,2023,Generated
DigitalLabs,3003092,Seed,AR/VR,Mountain View,2019,Generated
MetaApp86,11916784,Series A,Consumer Apps,Oakland,2020,Generated
DigitalNetworks,44900040,Series C,Biotech,South San Francisco,2023,Generated
CyberTech,2880873,Seed,Enterprise Software,Mountain View,2018,Generated
QuantumPlatform,39065191,Series B,Robotics,San Jose,2020,Generated
DigitalLabs,45131810,Series B,Blockchain,San Francisco,2023,Generated
SmartSolutions,627640,Pre-seed,Gaming,Redwood City,2021,Generated
MetaAI,162413342,Series D,AI,San Jose,2022,Generated
AIPlatform,67519063,Series C,SaaS,San Francisco,2023,Generated
MetaLabs62,8938262,Series A,Enterprise Software,Sunnyvale,2020,Generated
CyberPlatform,160245966,Series D,IoT,Redwood City,2018,Generated
QuantumApp4,219024809,Series E,MarTech,San Francisco,2024,Generated
QuantumAI,7364639,Series A,AgTech,South San Francisco,2020,Generated
DataHub,3477028,Seed,AR/VR,Sunnyvale,2019,Generated
Luminar Systems,7602359,Series A,IoT,Mountain View,2022,Generated
AISystems,36145357,Series B,EdTech,Sunnyvale,2023,Generated
Zenith Systems,26215904,Series B,SaaS,Mountain View,2021,Generated
NetPlatform,4504015,Seed,HealthTech,San Francisco,2024,Generated
QuantumWorks,44071317,Series B,Gaming,San Mateo,2022,Generated
QuantumWorks,171869229,Series D,Hardware,Berkeley,2023,Generated
CloudHub96,16643998,Series A,EdTech,Palo Alto,2023,Generated
CloudHub,34633216,Series B,AI,San Jose,2021,Generated
AIPlatform59,160075169,Series D,Hardware,Sunnyvale,2018,Generated
TechWorks62,474396142,Series E,Gaming,San Jose,2023,Generated
QuantumTech,75828190,Series D,Robotics,Mountain View,2019,Generated
Prism Networks,47181618,Series B,Enterprise Software,Oakland,2021,Generated
Apex Platform,73987640,Series C,AgTech,Berkeley,2018,Generated
MetaWorks87,82294479,Series C,Data Analytics,Palo Alto,2020,Generated
DataWorks,185385783,Series D,EdTech,Menlo Park,2020,Generated
Cipher Hub53,119973088,Series D,Consumer Apps,San Francisco,2019,Generated
CyberSolutions,4418177,Seed,AgTech,Redwood City,2024,Generated
MetaSolutions,24376859,Series B,MarTech,Redwood City,2021,Generated
Aether Tech37,111994229,Series D,MarTech,Sunnyvale,2023,Generated
DataApp33,37984238,Series B,Robotics,Menlo Park,2018,Generated
QuantumAI79,160853289,Series D,AR/VR,Oakland,2021,Generated
MetaLabs,2628113,Seed,Data Analytics,San Jose,2022,Generated
NetHub13,19313397,Series A,Biotech,Oakland,2021,Generated
MetaWorks70,13497631,Series A,PropTech,South San Francisco,2024,Generated
CloudAI48,121788575,Series E,SaaS,Redwood City,2024,Generated
Atlas Labs46,172378961,Series E,IoT,Palo Alto,2024,Generated
CloudTech,1825472,Seed,Data Analytics,Menlo Park,2024,Generated
SmartApp9,49453077,Series B,CleanTech,Menlo Park,2023,Generated
DigitalNetworks74,157052558,Series E,Cybersecurity,Berkeley,2021,Generated
NetTech,513384,Pre-seed,HealthTech,Redwood City,2024,Generated
QuantumWorks,37840811,Series B,FinTech,Berkeley,2021,Generated
Helios Solutions,157849070,Series D,AR/VR,Oakland,2022,Generated
Zenith Tech,37139161,Series B,Biotech,Redwood City,2020,Generated
DigitalHub,289389216,Series E,E-commerce,South San Francisco,2022,Generated
Orion Tech,3276300,Seed,E-commerce,Oakland,2021,Generated
Luminar Works,21636373,Series B,E-commerce,San Francisco,2022,Generated
CyberLabs5,66594171,Series C,E-commerce,Berkeley,2022,Generated
NetPlatform,100328056,Series D,Cryptocurrency,Berkeley,2024,Generated
DigitalAI,36943884,Series C,MarTech,Redwood City,2020,Generated
DataNetworks,9486325,Series A,Cloud Infrastructure,Palo Alto,2019,Generated
AIWorks,270775692,Series E,Biotech,San Mateo,2022,Generated
TechAI,17367519,Series A,AR/VR,Oakland,2020,Generated
MetaAI,2639064,Seed,Consumer Apps,Mountain View,2020,Generated
CloudPlatform,36316834,Series C,AgTech,Redwood City,2023,Generated
Apex Labs,1206778,Seed,Biotech,Redwood City,2019,Generated
Quantum Systems,1068267,Seed,Gaming,Sunnyvale,2020,Generated
CloudWorks,4321134,Seed,Biotech,Redwood City,2023,Generated
AIWorks40,70215586,Series C,SaaS,San Jose,2024,Generated
DigitalAI,31993982,Series B,AR/VR,Sunnyvale,2022,Generated
Prism Works48,61062654,Series C,FinTech,Mountain View,2021,Generated
Cipher App,3804729,Seed,Blockchain,Oakland,2018,Generated
Cipher AI71,49892146,Series B,IoT,San Jose,2021,Generated
Zephyr Hub44,66153886,Series C,DevOps,San Jose,2020,Generated
CloudPlatform,171281704,Series D,Blockchain,Berkeley,2021,Generated
MetaSolutions,1372921,Seed,Enterprise Software,Menlo Park,2023,Generated
NetSystems3,47373489,Series C,AgTech,Berkeley,2022,Generated
DigitalSystems,10401680,Series A,IoT,Sunnyvale,2021,Generated
CyberHub,82809039,Series C,Hardware,Menlo Park,2023,Generated
NetTech,44299744,Series B,Enterprise Software,Oakland,2020,Generated
Quantum Labs,66883207,Series C,DevOps,Menlo Park,2020,Generated
QuantumWorks,8923461,Series A,AgTech,San Francisco,2024,Generated
SmartLabs,78821464,Series D,IoT,Sunnyvale,2018,Generated
MetaSystems,37550994,Series C,Blockchain,San Jose,2022,Generated
NetNetworks,369561,Pre-seed,Enterprise Software,Berkeley,2024,Generated
Atlas AI,136255786,Series E,AR/VR,San Jose,2023,Generated
TechWorks,65281673,Series C,Cloud Infrastructure,Sunnyvale,2021,Generated
TechSystems,280317612,Series E,Cloud Infrastructure,Berkeley,2024,Generated
Quantum App,3819957,Seed,SaaS,Mountain View,2022,Generated
DigitalSolutions,98544794,Series C,Cryptocurrency,Oakland,2019,Generated
CloudWorks95,16541514,Series A,Biotech,San Jose,2021,Generated
Nexus Networks75,273404,Pre-seed,SaaS,San Mateo,2022,Generated
DigitalHub49,4954470,Seed,Cryptocurrency,South San Francisco,2023,Generated
MetaHub78,43413282,Series B,Cryptocurrency,Palo Alto,2024,Generated
AISystems,60743690,Series C,Data Analytics,San Mateo,2021,Generated
Elysium Solutions48,38480871,Series B,SaaS,Menlo Park,2022,Generated
TechPlatform,659617,Pre-seed,FinTech,San Francisco,2024,Generated
TechSystems41,871911,Pre-seed,E-commerce,Sunnyvale,2021,Generated
Zenith Labs73,12510099,Series A,DevOps,Redwood City,2018,Generated
QuantumHub,322024,Pre-seed,IoT,Redwood City,2023,Generated
Aether Works,441346894,Series E,Robotics,Menlo Park,2019,Generated
CloudTech,565762,Pre-seed,AR/VR,Sunnyvale,2021,Generated
SmartHub,198410339,Series E,Gaming,San Mateo,2018,Generated
QuantumHub,12868768,Series A,MarTech,South San Francisco,2022,Generated
QuantumAI,488353195,Series E,Biotech,San Jose,2020,Generated
Aegis Hub,90147280,Series C,EdTech,Oakland,2018,Generated
Zephyr AI,479001,Pre-seed,SaaS,San Jose,2022,Generated
MetaTech30,12735289,Series A,EdTech,Redwood City,2024,Generated
TechWorks8,86490504,Series C,HealthTech,San Jose,2020,Generated
CloudWorks68,151900170,Series D,HealthTech,San Jose,2024,Generated
Nexus App,19036343,Series A,IoT,Sunnyvale,2024,Generated
DataLabs36,316023936,Series E,FinTech,San Jose,2021,Generated
TechHub15,35246855,Series B,Hardware,San Jose,2023,Generated
Prism Hub,433106599,Series E,CleanTech,Mountain View,2022,Generated
DataWorks,4696138,Seed,Cybersecurity,San Mateo,2022,Generated
Nexus AI,34680966,Series B,MarTech,San Mateo,2019,Generated
DataNetworks2,19579235,Series B,SaaS,Mountain View,2024,Generated
SmartPlatform29,11822399,Series A,CleanTech,Menlo Park,2020,Generated
TechLabs7,44037812,Series B,PropTech,Redwood City,2018,Generated
AINetworks,9129095,Series A,Consumer Apps,Oakland,2023,Generated
QuantumPlatform,194303872,Series D,Data Analytics,South San Francisco,2018,Generated
MetaPlatform,183111975,Series D,E-commerce,Berkeley,2021,Generated
TechWorks,13114154,Series A,MarTech,Sunnyvale,2024,Generated
AIWorks,148469405,Series D,MarTech,San Jose,2018,Generated
MetaTech,302524,Pre-seed,Gaming,Mountain View,2018,Generated
Nexus AI,17102335,Series A,Cryptocurrency,Oakland,2020,Generated
Luminar Hub,2406696,Seed,Robotics,Sunnyvale,2019,Generated
Luminar Platform,109924282,Series D,Cryptocurrency,Oakland,2019,Generated
QuantumPlatform31,46322501,Series C,Cryptocurrency,Redwood City,2023,Generated
SmartNetworks34,8788639,Series A,EdTech,San Francisco,2018,Generated
SmartLabs,47147093,Series C,Data Analytics,Redwood City,2024,Generated
DataHub,159561978,Series E,IoT,Palo Alto,2020,Generated
MetaWorks,44422398,Series C,HealthTech,Berkeley,2022,Generated
DigitalLabs,104525437,Series D,Gaming,South San Francisco,2023,Generated
Aegis Hub,4349304,Seed,Enterprise Software,Berkeley,2024,Generated
NetSystems,32502240,Series C,AgTech,South San Francisco,2024,Generated
SmartLabs,3183046,Seed,MarTech,Menlo Park,2024,Generated
CyberNetworks,19898205,Series A,MarTech,San Mateo,2019,Generated
TechApp,211375,Pre-seed,PropTech,Mountain View,2018,Generated
DataSystems,6037941,Series A,Enterprise Software,San Francisco,2019,Generated
Orion Tech,16201887,Series A,Gaming,Oakland,2022,Generated
NetLabs,4820550,Seed,E-commerce,San Francisco,2021,Generated
DigitalHub,77431179,Series D,AI,Sunnyvale,2019,Generated
Quantum App87,15917095,Series A,Consumer Apps,Mountain View,2022,Generated
CloudLabs,4699522,Seed,E-commerce,Oakland,2024,Generated
